n:93 mse_avg:9.35 mse_y:10.64 mse_u:7.30 mse_v:6.22 psnr_avg:38.42 psnr_y:37.86 psnr_u:39.50 psnr_v:40.19 
n:94 mse_avg:13.35 mse_y:15.86 mse_u:9.10 mse_v:7.57 psnr_avg:36.88 psnr_y:36.13 psnr_u:38.54 psnr_v:39.34 
n:95 mse_avg:11.63 mse_y:13.48 mse_u:8.58 mse_v:7.28 psnr_avg:37.47 psnr_y:36.83 psnr_u:38.79 psnr_v:39.51 
n:96 mse_avg:13.81 mse_y:16.33 mse_u:9.50 mse_v:8.04 psnr_avg:36.73 psnr_y:36.00 psnr_u:38.36 psnr_v:39.08 
n:97 mse_avg:5.84 mse_y:6.32 mse_u:5.12 mse_v:4.60 psnr_avg:40.47 psnr_y:40.12 psnr_u:41.04 psnr_v:41.50 
n:98 mse_avg:12.81 mse_y:15.39 mse_u:8.38 mse_v:6.89 psnr_avg:37.06 psnr_y:36.26 psnr_u:38.90 psnr_v:39.75 
n:99 mse_avg:11.49 mse_y:13.38 mse_u:8.38 mse_v:7.06 psnr_avg:37.53 psnr_y:36.87 psnr_u:38.90 psnr_v:39.64 
n:100 mse_avg:13.43 mse_y:15.79 mse_u:9.48 mse_v:7.93 psnr_avg:36.85 psnr_y:36.15 psnr_u:38.36 psnr_v:39.14 
n:101 mse_avg:5.56 mse_y:5.94 mse_u:5.05 mse_v:4.54 psnr_avg:40.68 psnr_y:40.39 psnr_u:41.10 psnr_v:41.56 
n:102 mse_avg:12.50 mse_y:14.95 mse_u:8.36 mse_v:6.82 psnr_avg:37.16 psnr_y:36.38 psnr_u:38.91 psnr_v:39.79 
n:103 mse_avg:11.24 mse_y:13.06 mse_u:8.26 mse_v:6.94 psnr_avg:37.62 psnr_y:36.97 psnr_u:38.96 psnr_v:39.72 
n:104 mse_avg:13.23 mse_y:15.62 mse_u:9.22 mse_v:7.70 psnr_avg:36.91 psnr_y:36.19 psnr_u:38.48 psnr_v:39.27 
n:105 mse_avg:5.76 mse_y:6.24 mse_u:5.07 mse_v:4.52 psnr_avg:40.53 psnr_y:40.18 psnr_u:41.08 psnr_v:41.57 
n:106 mse_avg:12.68 mse_y:15.23 mse_u:8.32 mse_v:6.85 psnr_avg:37.10 psnr_y:36.30 psnr_u:38.93 psnr_v:39.78 
n:107 mse_avg:11.43 mse_y:13.30 mse_u:8.35 mse_v:7.04 psnr_avg:37.55 psnr_y:36.89 psnr_u:38.91 psnr_v:39.65 
n:108 mse_avg:13.38 mse_y:15.77 mse_u:9.34 mse_v:7.84 psnr_avg:36.87 psnr_y:36.15 psnr_u:38.43 psnr_v:39.19 
