n:82 mse_avg:12.06 mse_y:14.01 mse_u:8.81 mse_v:7.52 psnr_avg:37.32 psnr_y:36.67 psnr_u:38.68 psnr_v:39.37 
n:83 mse_avg:12.06 mse_y:14.00 mse_u:8.87 mse_v:7.52 psnr_avg:37.32 psnr_y:36.67 psnr_u:38.65 psnr_v:39.37 
n:84 mse_avg:12.21 mse_y:14.18 mse_u:8.99 mse_v:7.58 psnr_avg:37.26 psnr_y:36.62 psnr_u:38.59 psnr_v:39.34 
n:85 mse_avg:10.39 mse_y:11.62 mse_u:8.58 mse_v:7.31 psnr_avg:37.96 psnr_y:37.48 psnr_u:38.80 psnr_v:39.49 
n:86 mse_avg:12.33 mse_y:14.32 mse_u:9.08 mse_v:7.64 psnr_avg:37.22 psnr_y:36.57 psnr_u:38.55 psnr_v:39.30 
n:87 mse_avg:12.47 mse_y:14.52 mse_u:9.09 mse_v:7.69 psnr_avg:37.17 psnr_y:36.51 psnr_u:38.55 psnr_v:39.27 
n:88 mse_avg:12.26 mse_y:14.23 mse_u:9.01 mse_v:7.62 psnr_avg:37.25 psnr_y:36.60 psnr_u:38.58 psnr_v:39.31 
n:89 mse_avg:12.39 mse_y:14.41 mse_u:9.05 mse_v:7.68 psnr_avg:37.20 psnr_y:36.55 psnr_u:38.57 psnr_v:39.28 
n:90 mse_avg:12.03 mse_y:13.94 mse_u:8.84 mse_v:7.59 psnr_avg:37.33 psnr_y:36.69 psnr_u:38.67 psnr_v:39.33 
n:91 mse_avg:12.08 mse_y:13.99 mse_u:8.89 mse_v:7.61 psnr_avg:37.31 psnr_y:36.67 psnr_u:38.64 psnr_v:39.32 
n:92 mse_avg:12.45 mse_y:14.50 mse_u:8.96 mse_v:7.72 psnr_avg:37.18 psnr_y:36.52 psnr_u:38.61 psnr_v:39.26 
n:93 mse_avg:12.45 mse_y:14.49 mse_u:9.03 mse_v:7.70 psnr_avg:37.18 psnr_y:36.52 psnr_u:38.57 psnr_v:39.27 
n:94 mse_avg:12.57 mse_y:14.68 mse_u:8.98 mse_v:7.72 psnr_avg:37.14 psnr_y:36.46 psnr_u:38.60 psnr_v:39.26 
n:95 mse_avg:12.53 mse_y:14.64 mse_u:8.96 mse_v:7.67 psnr_avg:37.15 psnr_y:36.48 psnr_u:38.61 psnr_v:39.28 
n:96 mse_avg:12.60 mse_y:14.76 mse_u:8.91 mse_v:7.66 psnr_avg:37.13 psnr_y:36.44 psnr_u:38.63 psnr_v:39.29 
n:97 mse_avg:10.95 mse_y:12.43 mse_u:8.56 mse_v:7.40 psnr_avg:37.74 psnr_y:37.19 psnr_u:38.80 psnr_v:39.44 
n:98 mse_avg:12.52 mse_y:14.63 mse_u:8.99 mse_v:7.63 psnr_avg:37.15 psnr_y:36.48 psnr_u:38.59 psnr_v:39.31 
n:99 mse_avg:12.54 mse_y:14.64 mse_u:8.99 mse_v:7.69 psnr_avg:37.15 psnr_y:36.48 psnr_u:38.59 psnr_v:39.27 
n:100 mse_avg:12.35 mse_y:14.37 mse_u:8.98 mse_v:7.64 psnr_avg:37.21 psnr_y:36.56 psnr_u:38.60 psnr_v:39.30 
n:101 mse_avg:12.13 mse_y:14.07 mse_u:8.90 mse_v:7.58 psnr_avg:37.29 psnr_y:36.65 psnr_u:38.64 psnr_v:39.34 
n:102 mse_avg:12.28 mse_y:14.27 mse_u:8.90 mse_v:7.66 psnr_avg:37.24 psnr_y:36.59 psnr_u:38.64 psnr_v:39.29 
n:103 mse_avg:12.26 mse_y:14.28 mse_u:8.81 mse_v:7.61 psnr_avg:37.25 psnr_y:36.58 psnr_u:38.68 psnr_v:39.32 
n:104 mse_avg:12.27 mse_y:14.31 mse_u:8.80 mse_v:7.55 psnr_avg:37.24 psnr_y:36.57 psnr_u:38.69 psnr_v:39.35 
n:105 mse_avg:12.25 mse_y:14.28 mse_u:8.81 mse_v:7.57 psnr_avg:37.25 psnr_y:36.58 psnr_u:38.68 psnr_v:39.34 
n:106 mse_avg:12.41 mse_y:14.50 mse_u:8.86 mse_v:7.60 psnr_avg:37.19 psnr_y:36.52 psnr_u:38.65 psnr_v:39.32 
n:107 mse_avg:12.45 mse_y:14.54 mse_u:8.90 mse_v:7.64 psnr_avg:37.18 psnr_y:36.51 psnr_u:38.64 psnr_v:39.30 
n:108 mse_avg:12.29 mse_y:14.34 mse_u:8.82 mse_v:7.58 psnr_avg:37.23 psnr_y:36.56 psnr_u:38.68 psnr_v:39.33 
n:109 mse_avg:10.58 mse_y:11.89 mse_u:8.60 mse_v:7.34 psnr_avg:37.88 psnr_y:37.38 psnr_u:38.79 psnr_v:39.47 
n:110 mse_avg:12.59 mse_y:14.70 mse_u:9.07 mse_v:7.69 psnr_avg:37.13 psnr_y:36.46 psnr_u:38.55 psnr_v:39.27 
n:111 mse_avg:12.14 mse_y:14.09 mse_u:8.88 mse_v:7.57 psnr_avg:37.29 psnr_y:36.64 psnr_u:38.65 psnr_v:39.34 
n:112 mse_avg:12.20 mse_y:14.17 mse_u:8.88 mse_v:7.63 psnr_avg:37.27 psnr_y:36.62 psnr_u:38.65 psnr_v:39.31 
n:113 mse_avg:12.32 mse_y:14.32 mse_u:8.94 mse_v:7.66 psnr_avg:37.23 psnr_y:36.57 psnr_u:38.62 psnr_v:39.29 
n:114 mse_avg:12.26 mse_y:14.26 mse_u:8.90 mse_v:7.63 psnr_avg:37.25 psnr_y:36.59 psnr_u:38.64 psnr_v:39.30 
n:115 mse_avg:12.20 mse_y:14.15 mse_u:8.91 mse_v:7.67 psnr_avg:37.27 psnr_y:36.62 psnr_u:38.63 psnr_v:39.28 
n:116 mse_avg:12.39 mse_y:14.44 mse_u:8.94 mse_v:7.68 psnr_avg:37.20 psnr_y:36.54 psnr_u:38.62 psnr_v:39.28 
n:117 mse_avg:12.30 mse_y:14.31 mse_u:8.91 mse_v:7.63 psnr_avg:37.23 psnr_y:36.57 psnr_u:38.63 psnr_v:39.30 
n:118 mse_avg:12.33 mse_y:14.38 mse_u:8.87 mse_v:7.62 psnr_avg:37.22 psnr_y:36.55 psnr_u:38.65 psnr_v:39.31 
n:119 mse_avg:12.41 mse_y:14.50 mse_u:8.87 mse_v:7.58 psnr_avg:37.19 psnr_y:36.52 psnr_u:38.65 psnr_v:39.33 
n:120 mse_avg:12.51 mse_y:14.63 mse_u:8.89 mse_v:7.64 psnr_avg:37.16 psnr_y:36.48 psnr_u:38.64 psnr_v:39.30 
n:121 mse_avg:10.89 mse_y:12.31 mse_u:8.67 mse_v:7.42 psnr_avg:37.76 psnr_y:37.23 psnr_u:38.75 psnr_v:39.43 
n:122 mse_avg:12.60 mse_y:14.72 mse_u:9.02 mse_v:7.67 psnr_avg:37.13 psnr_y:36.45 psnr_u:38.58 psnr_v:39.28 
n:123 mse_avg:12.63 mse_y:14.78 mse_u:8.98 mse_v:7.68 psnr_avg:37.12 psnr_y:36.43 psnr_u:38.60 psnr_v:39.28 
n:124 mse_avg:12.33 mse_y:14.40 mse_u:8.80 mse_v:7.61 psnr_avg:37.22 psnr_y:36.55 psnr_u:38.68 psnr_v:39.32 
n:125 mse_avg:12.62 mse_y:14.78 mse_u:8.93 mse_v:7.69 psnr_avg:37.12 psnr_y:36.43 psnr_u:38.62 psnr_v:39.27 
n:126 mse_avg:12.44 mse_y:14.54 mse_u:8.82 mse_v:7.66 psnr_avg:37.18 psnr_y:36.50 psnr_u:38.68 psnr_v:39.29 
n:127 mse_avg:12.50 mse_y:14.63 mse_u:8.87 mse_v:7.65 psnr_avg:37.16 psnr_y:36.48 psnr_u:38.65 psnr_v:39.29 
n:128 mse_avg:12.43 mse_y:14.50 mse_u:8.90 mse_v:7.67 psnr_avg:37.19 psnr_y:36.52 psnr_u:38.64 psnr_v:39.28 
n:129 mse_avg:12.38 mse_y:14.43 mse_u:8.90 mse_v:7.68 psnr_avg:37.20 psnr_y:36.54 psnr_u:38.64 psnr_v:39.28 
n:130 mse_avg:12.19 mse_y:14.20 mse_u:8.79 mse_v:7.59 psnr_avg:37.27 psnr_y:36.61 psnr_u:38.69 psnr_v:39.33 
n:131 mse_avg:12.27 mse_y:14.27 mse_u:8.86 mse_v:7.67 psnr_avg:37.24 psnr_y:36.59 psnr_u:38.66 psnr_v:39.28 
n:132 mse_avg:12.08 mse_y:14.04 mse_u:8.75 mse_v:7.56 psnr_avg:37.31 psnr_y:36.66 psnr_u:38.71 psnr_v:39.35 
n:133 mse_avg:10.43 mse_y:11.69 mse_u:8.45 mse_v:7.36 psnr_avg:37.95 psnr_y:37.45 psnr_u:38.86 psnr_v:39.46 
