n:64 mse_avg:25.18 mse_y:30.00 mse_u:19.16 mse_v:11.89 psnr_avg:34.12 psnr_y:33.36 psnr_u:35.31 psnr_v:37.38 
n:65 mse_avg:14.33 mse_y:14.68 mse_u:16.21 mse_v:11.04 psnr_avg:36.57 psnr_y:36.46 psnr_u:36.03 psnr_v:37.70 
n:66 mse_avg:26.45 mse_y:31.95 mse_u:18.86 mse_v:12.05 psnr_avg:33.91 psnr_y:33.09 psnr_u:35.37 psnr_v:37.32 
n:67 mse_avg:18.88 mse_y:20.49 mse_u:19.25 mse_v:12.07 psnr_avg:35.37 psnr_y:35.02 psnr_u:35.29 psnr_v:37.31 
n:68 mse_avg:24.77 mse_y:29.17 mse_u:19.75 mse_v:12.19 psnr_avg:34.19 psnr_y:33.48 psnr_u:35.18 psnr_v:37.27 
n:69 mse_avg:17.40 mse_y:18.46 mse_u:17.96 mse_v:12.58 psnr_avg:35.73 psnr_y:35.47 psnr_u:35.59 psnr_v:37.14 
n:70 mse_avg:26.86 mse_y:31.78 mse_u:21.12 mse_v:12.90 psnr_avg:33.84 psnr_y:33.11 psnr_u:34.88 psnr_v:37.02 
n:71 mse_avg:19.86 mse_y:21.39 mse_u:20.71 mse_v:12.90 psnr_avg:35.15 psnr_y:34.83 psnr_u:34.97 psnr_v:37.03 
n:72 mse_avg:26.69 mse_y:31.68 mse_u:20.72 mse_v:12.74 psnr_avg:33.87 psnr_y:33.12 psnr_u:34.97 psnr_v:37.08 
n:73 mse_avg:15.54 mse_y:16.00 mse_u:16.82 mse_v:12.40 psnr_avg:36.22 psnr_y:36.09 psnr_u:35.87 psnr_v:37.20 
n:74 mse_avg:26.10 mse_y:30.87 mse_u:20.47 mse_v:12.64 psnr_avg:33.96 psnr_y:33.23 psnr_u:35.02 psnr_v:37.11 
n:75 mse_avg:19.47 mse_y:20.86 mse_u:20.48 mse_v:12.89 psnr_avg:35.24 psnr_y:34.94 psnr_u:35.02 psnr_v:37.03 
n:76 mse_avg:27.31 mse_y:32.29 mse_u:21.50 mse_v:13.19 psnr_avg:33.77 psnr_y:33.04 psnr_u:34.81 psnr_v:36.93 
n:77 mse_avg:17.77 mse_y:18.72 mse_u:18.68 mse_v:13.07 psnr_avg:35.63 psnr_y:35.41 psnr_u:35.42 psnr_v:36.97 
n:78 mse_avg:27.24 mse_y:32.30 mse_u:21.11 mse_v:13.17 psnr_avg:33.78 psnr_y:33.04 psnr_u:34.89 psnr_v:36.93 
n:79 mse_avg:20.35 mse_y:22.07 mse_u:20.58 mse_v:13.25 psnr_avg:35.05 psnr_y:34.69 psnr_u:35.00 psnr_v:36.91 
n:80 mse_avg:27.17 mse_y:32.56 mse_u:19.82 mse_v:12.97 psnr_avg:33.79 psnr_y:33.00 psnr_u:35.16 psnr_v:37.00 
n:81 mse_avg:17.62 mse_y:18.69 mse_u:18.24 mse_v:12.73 psnr_avg:35.67 psnr_y:35.41 psnr_u:35.52 psnr_v:37.08 
n:82 mse_avg:26.27 mse_y:31.26 mse_u:19.71 mse_v:12.85 psnr_avg:33.94 psnr_y:33.18 psnr_u:35.18 psnr_v:37.04 
n:83 mse_avg:20.11 mse_y:21.72 mse_u:20.57 mse_v:13.17 psnr_avg:35.10 psnr_y:34.76 psnr_u:35.00 psnr_v:36.93 
n:84 mse_avg:28.33 mse_y:33.74 mse_u:21.49 mse_v:13.53 psnr_avg:33.61 psnr_y:32.85 psnr_u:34.81 psnr_v:36.82 
n:85 mse_avg:17.53 mse_y:18.18 mse_u:19.09 mse_v:13.36 psnr_avg:35.69 psnr_y:35.53 psnr_u:35.32 psnr_v:36.87 
n:86 mse_avg:27.43 mse_y:32.40 mse_u:21.49 mse_v:13.51 psnr_avg:33.75 psnr_y:33.03 psnr_u:34.81 psnr_v:36.82 
n:87 mse_avg:20.16 mse_y:21.58 mse_u:21.15 mse_v:13.45 psnr_avg:35.09 psnr_y:34.79 psnr_u:34.88 psnr_v:36.84 
n:88 mse_avg:28.13 mse_y:33.60 mse_u:20.86 mse_v:13.53 psnr_avg:33.64 psnr_y:32.87 psnr_u:34.94 psnr_v:36.82 
n:89 mse_avg:16.45 mse_y:16.99 mse_u:17.52 mse_v:13.23 psnr_avg:35.97 psnr_y:35.83 psnr_u:35.70 psnr_v:36.92 
n:90 mse_avg:28.56 mse_y:34.18 mse_u:20.94 mse_v:13.69 psnr_avg:33.57 psnr_y:32.79 psnr_u:34.92 psnr_v:36.77 
n:91 mse_avg:20.72 mse_y:22.32 mse_u:21.41 mse_v:13.62 psnr_avg:34.97 psnr_y:34.64 psnr_u:34.82 psnr_v:36.79 
n:92 mse_avg:27.45 mse_y:32.57 mse_u:20.94 mse_v:13.47 psnr_avg:33.75 psnr_y:33.00 psnr_u:34.92 psnr_v:36.84 
n:93 mse_avg:17.75 mse_y:18.70 mse_u:18.48 mse_v:13.22 psnr_avg:35.64 psnr_y:35.41 psnr_u:35.46 psnr_v:36.92 
n:94 mse_avg:28.24 mse_y:33.89 mse_u:20.62 mse_v:13.28 psnr_avg:33.62 psnr_y:32.83 psnr_u:34.99 psnr_v:36.90 
n:95 mse_avg:19.77 mse_y:21.49 mse_u:19.83 mse_v:12.82 psnr_avg:35.17 psnr_y:34.81 psnr_u:35.16 psnr_v:37.05 
n:96 mse_avg:26.10 mse_y:31.23 mse_u:19.12 mse_v:12.59 psnr_avg:33.96 psnr_y:33.19 psnr_u:35.32 psnr_v:37.13 
n:97 mse_avg:16.65 mse_y:17.43 mse_u:17.68 mse_v:12.54 psnr_avg:35.92 psnr_y:35.72 psnr_u:35.66 psnr_v:37.15 
n:98 mse_avg:26.36 mse_y:31.65 mse_u:19.06 mse_v:12.50 psnr_avg:33.92 psnr_y:33.13 psnr_u:35.33 psnr_v:37.16 
n:99 mse_avg:18.89 mse_y:20.33 mse_u:19.57 mse_v:12.45 psnr_avg:35.37 psnr_y:35.05 psnr_u:35.22 psnr_v:37.18 
n:100 mse_avg:27.03 mse_y:32.24 mse_u:20.32 mse_v:12.90 psnr_avg:33.81 psnr_y:33.05 psnr_u:35.05 psnr_v:37.03 
n:101 mse_avg:17.12 mse_y:17.89 mse_u:18.19 mse_v:12.99 psnr_avg:35.80 psnr_y:35.61 psnr_u:35.53 psnr_v:36.99 
n:102 mse_avg:27.12 mse_y:32.04 mse_u:21.29 mse_v:13.29 psnr_avg:33.80 psnr_y:33.07 psnr_u:34.85 psnr_v:36.90 
n:103 mse_avg:20.15 mse_y:21.49 mse_u:21.41 mse_v:13.50 psnr_avg:35.09 psnr_y:34.81 psnr_u:34.82 psnr_v:36.83 
n:104 mse_avg:27.59 mse_y:32.72 mse_u:21.21 mse_v:13.46 psnr_avg:33.72 psnr_y:32.98 psnr_u:34.87 psnr_v:36.84 
n:105 mse_avg:16.92 mse_y:17.43 mse_u:18.23 mse_v:13.58 psnr_avg:35.85 psnr_y:35.72 psnr_u:35.52 psnr_v:36.80 
n:106 mse_avg:27.00 mse_y:31.84 mse_u:21.03 mse_v:13.63 psnr_avg:33.82 psnr_y:33.10 psnr_u:34.90 psnr_v:36.79 
n:107 mse_avg:20.71 mse_y:22.05 mse_u:22.04 mse_v:14.02 psnr_avg:34.97 psnr_y:34.70 psnr_u:34.70 psnr_v:36.66 
n:108 mse_avg:28.57 mse_y:33.70 mse_u:22.47 mse_v:14.13 psnr_avg:33.57 psnr_y:32.85 psnr_u:34.61 psnr_v:36.63 
n:109 mse_avg:17.37 mse_y:17.81 mse_u:19.45 mse_v:13.54 psnr_avg:35.73 psnr_y:35.62 psnr_u:35.24 psnr_v:36.81 
n:110 mse_avg:27.52 mse_y:32.39 mse_u:21.79 mse_v:13.78 psnr_avg:33.73 psnr_y:33.03 psnr_u:34.75 psnr_v:36.74 
n:111 mse_avg:20.34 mse_y:21.75 mse_u:21.46 mse_v:13.54 psnr_avg:35.05 psnr_y:34.76 psnr_u:34.81 psnr_v:36.81 
n:112 mse_avg:25.44 mse_y:30.02 mse_u:19.44 mse_v:13.13 psnr_avg:34.08 psnr_y:33.36 psnr_u:35.24 psnr_v:36.95 
n:113 mse_avg:17.25 mse_y:18.12 mse_u:18.05 mse_v:13.00 psnr_avg:35.76 psnr_y:35.55 psnr_u:35.57 psnr_v:36.99 
n:114 mse_avg:26.88 mse_y:32.09 mse_u:19.67 mse_v:13.29 psnr_avg:33.84 psnr_y:33.07 psnr_u:35.19 psnr_v:36.90 
n:115 mse_avg:20.40 mse_y:21.87 mse_u:21.38 mse_v:13.52 psnr_avg:35.04 psnr_y:34.73 psnr_u:34.83 psnr_v:36.82 
n:116 mse_avg:25.99 mse_y:30.33 mse_u:21.42 mse_v:13.21 psnr_avg:33.98 psnr_y:33.31 psnr_u:34.82 psnr_v:36.92 
n:117 mse_avg:17.60 mse_y:18.14 mse_u:19.40 mse_v:13.61 psnr_avg:35.68 psnr_y:35.54 psnr_u:35.25 psnr_v:36.79 
n:118 mse_avg:27.09 mse_y:31.80 mse_u:21.68 mse_v:13.67 psnr_avg:33.80 psnr_y:33.11 psnr_u:34.77 psnr_v:36.77 
n:119 mse_avg:19.78 mse_y:20.92 mse_u:21.53 mse_v:13.48 psnr_avg:35.17 psnr_y:34.92 psnr_u:34.80 psnr_v:36.83 
n:120 mse_avg:26.15 mse_y:30.72 mse_u:20.66 mse_v:13.36 psnr_avg:33.96 psnr_y:33.26 psnr_u:34.98 psnr_v:36.87 
n:121 mse_avg:15.41 mse_y:15.51 mse_u:17.27 mse_v:13.14 psnr_avg:36.25 psnr_y:36.23 psnr_u:35.76 psnr_v:36.95 
n:122 mse_avg:26.10 mse_y:30.63 mse_u:20.58 mse_v:13.51 psnr_avg:33.96 psnr_y:33.27 psnr_u:35.00 psnr_v:36.82 
n:123 mse_avg:20.77 mse_y:22.24 mse_u:21.75 mse_v:13.90 psnr_avg:34.96 psnr_y:34.66 psnr_u:34.76 psnr_v:36.70 
n:124 mse_avg:27.77 mse_y:32.70 mse_u:21.95 mse_v:13.87 psnr_avg:33.69 psnr_y:32.99 psnr_u:34.72 psnr_v:36.71 
n:125 mse_avg:17.57 mse_y:18.27 mse_u:18.97 mse_v:13.37 psnr_avg:35.68 psnr_y:35.51 psnr_u:35.35 psnr_v:36.87 
n:126 mse_avg:27.15 mse_y:32.06 mse_u:21.27 mse_v:13.42 psnr_avg:33.79 psnr_y:33.07 psnr_u:34.85 psnr_v:36.85 
n:127 mse_avg:19.52 mse_y:21.00 mse_u:20.18 mse_v:12.95 psnr_avg:35.23 psnr_y:34.91 psnr_u:35.08 psnr_v:37.01 
n:128 mse_avg:26.21 mse_y:31.18 mse_u:19.77 mse_v:12.76 psnr_avg:33.95 psnr_y:33.19 psnr_u:35.17 psnr_v:37.07 
n:129 mse_avg:15.61 mse_y:16.01 mse_u:17.33 mse_v:12.28 psnr_avg:36.20 psnr_y:36.09 psnr_u:35.74 psnr_v:37.24 
n:130 mse_avg:24.87 mse_y:29.44 mse_u:19.04 mse_v:12.42 psnr_avg:34.17 psnr_y:33.44 psnr_u:35.34 psnr_v:37.19 
n:131 mse_avg:19.59 mse_y:21.15 mse_u:20.08 mse_v:12.85 psnr_avg:35.21 psnr_y:34.88 psnr_u:35.10 psnr_v:37.04 
n:132 mse_avg:27.44 mse_y:32.53 mse_u:21.18 mse_v:13.35 psnr_avg:33.75 psnr_y:33.01 psnr_u:34.87 psnr_v:36.88 
n:133 mse_avg:17.56 mse_y:18.33 mse_u:18.82 mse_v:13.20 psnr_avg:35.69 psnr_y:35.50 psnr_u:35.38 psnr_v:36.92 
n:134 mse_avg:27.38 mse_y:32.21 mse_u:21.68 mse_v:13.74 psnr_avg:33.76 psnr_y:33.05 psnr_u:34.77 psnr_v:36.75 
n:135 mse_avg:21.02 mse_y:22.62 mse_u:21.75 mse_v:13.86 psnr_avg:34.91 psnr_y:34.59 psnr_u:34.76 psnr_v:36.71 
n:136 mse_avg:28.22 mse_y:33.46 mse_u:21.63 mse_v:13.90 psnr_avg:33.62 psnr_y:32.89 psnr_u:34.78 psnr_v:36.70 
n:137 mse_avg:16.11 mse_y:16.38 mse_u:17.81 mse_v:13.34 psnr_avg:36.06 psnr_y:35.99 psnr_u:35.62 psnr_v:36.88 
n:138 mse_avg:27.18 mse_y:31.99 mse_u:21.32 mse_v:13.79 psnr_avg:33.79 psnr_y:33.08 psnr_u:34.84 psnr_v:36.73 
n:139 mse_avg:20.28 mse_y:21.66 mse_u:21.40 mse_v:13.66 psnr_avg:35.06 psnr_y:34.77 psnr_u:34.83 psnr_v:36.78 
n:140 mse_avg:26.50 mse_y:30.92 mse_u:21.73 mse_v:13.59 psnr_avg:33.90 psnr_y:33.23 psnr_u:34.76 psnr_v:36.80 
n:141 mse_avg:17.01 mse_y:17.55 mse_u:18.80 mse_v:13.04 psnr_avg:35.82 psnr_y:35.69 psnr_u:35.39 psnr_v:36.98 
n:142 mse_avg:26.05 mse_y:30.40 mse_u:21.36 mse_v:13.35 psnr_avg:33.97 psnr_y:33.30 psnr_u:34.84 psnr_v:36.88 
n:143 mse_avg:19.46 mse_y:20.73 mse_u:20.78 mse_v:13.09 psnr_avg:35.24 psnr_y:34.97 psnr_u:34.95 psnr_v:36.96 
n:144 mse_avg:25.29 mse_y:29.49 mse_u:20.48 mse_v:13.32 psnr_avg:34.10 psnr_y:33.43 psnr_u:35.02 psnr_v:36.89 
n:145 mse_avg:17.73 mse_y:18.67 mse_u:18.45 mse_v:13.20 psnr_avg:35.64 psnr_y:35.42 psnr_u:35.47 psnr_v:36.92 
n:146 mse_avg:26.37 mse_y:30.93 mse_u:20.86 mse_v:13.67 psnr_avg:33.92 psnr_y:33.23 psnr_u:34.94 psnr_v:36.77 
n:147 mse_avg:20.44 mse_y:21.74 mse_u:21.82 mse_v:13.89 psnr_avg:35.03 psnr_y:34.76 psnr_u:34.74 psnr_v:36.70 
n:148 mse_avg:27.23 mse_y:31.72 mse_u:22.37 mse_v:14.15 psnr_avg:33.78 psnr_y:33.12 psnr_u:34.63 psnr_v:36.62 
n:149 mse_avg:18.34 mse_y:19.15 mse_u:19.51 mse_v:13.97 psnr_avg:35.50 psnr_y:35.31 psnr_u:35.23 psnr_v:36.68 
n:150 mse_avg:28.51 mse_y:33.37 mse_u:23.10 mse_v:14.48 psnr_avg:33.58 psnr_y:32.90 psnr_u:34.50 psnr_v:36.52 
n:151 mse_avg:20.52 mse_y:21.78 mse_u:21.92 mse_v:14.06 psnr_avg:35.01 psnr_y:34.75 psnr_u:34.72 psnr_v:36.65 
n:152 mse_avg:27.42 mse_y:32.07 mse_u:22.08 mse_v:14.16 psnr_avg:33.75 psnr_y:33.07 psnr_u:34.69 psnr_v:36.62 
n:153 mse_avg:16.21 mse_y:16.49 mse_u:17.92 mse_v:13.38 psnr_avg:36.03 psnr_y:35.96 psnr_u:35.60 psnr_v:36.86 
n:154 mse_avg:26.79 mse_y:31.06 mse_u:22.56 mse_v:13.93 psnr_avg:33.85 psnr_y:33.21 psnr_u:34.60 psnr_v:36.69 
n:155 mse_avg:20.49 mse_y:21.76 mse_u:22.05 mse_v:13.83 psnr_avg:35.02 psnr_y:34.75 psnr_u:34.70 psnr_v:36.72 
n:156 mse_avg:25.26 mse_y:28.91 mse_u:22.43 mse_v:13.49 psnr_avg:34.11 psnr_y:33.52 psnr_u:34.62 psnr_v:36.83 
n:157 mse_avg:16.68 mse_y:17.03 mse_u:18.86 mse_v:13.08 psnr_avg:35.91 psnr_y:35.82 psnr_u:35.38 psnr_v:36.97 
n:158 mse_avg:26.96 mse_y:31.59 mse_u:21.80 mse_v:13.59 psnr_avg:33.82 psnr_y:33.14 psnr_u:34.75 psnr_v:36.80 
n:159 mse_avg:18.41 mse_y:19.44 mse_u:20.05 mse_v:12.64 psnr_avg:35.48 psnr_y:35.24 psnr_u:35.11 psnr_v:37.11 
n:160 mse_avg:22.86 mse_y:26.25 mse_u:19.87 mse_v:12.27 psnr_avg:34.54 psnr_y:33.94 psnr_u:35.15 psnr_v:37.24 
n:161 mse_avg:14.27 mse_y:14.36 mse_u:16.52 mse_v:11.68 psnr_avg:36.59 psnr_y:36.56 psnr_u:35.95 psnr_v:37.46 
n:162 mse_avg:22.73 mse_y:26.05 mse_u:19.80 mse_v:12.38 psnr_avg:34.56 psnr_y:33.97 psnr_u:35.16 psnr_v:37.20 
n:163 mse_avg:18.02 mse_y:19.03 mse_u:19.43 mse_v:12.55 psnr_avg:35.57 psnr_y:35.34 psnr_u:35.25 psnr_v:37.15 
n:164 mse_avg:25.76 mse_y:30.03 mse_u:21.12 mse_v:13.30 psnr_avg:34.02 psnr_y:33.35 psnr_u:34.88 psnr_v:36.89 
n:165 mse_avg:16.48 mse_y:16.98 mse_u:18.00 mse_v:12.94 psnr_avg:35.96 psnr_y:35.83 psnr_u:35.58 psnr_v:37.01 
