n:58 mse_avg:14.88 mse_y:18.71 mse_u:8.82 mse_v:5.63 psnr_avg:36.40 psnr_y:35.41 psnr_u:38.67 psnr_v:40.62 
n:59 mse_avg:15.04 mse_y:18.89 mse_u:8.96 mse_v:5.73 psnr_avg:36.36 psnr_y:35.37 psnr_u:38.61 psnr_v:40.55 
n:60 mse_avg:15.04 mse_y:18.87 mse_u:8.95 mse_v:5.78 psnr_avg:36.36 psnr_y:35.37 psnr_u:38.61 psnr_v:40.51 
n:61 mse_avg:10.56 mse_y:12.43 mse_u:8.34 mse_v:5.33 psnr_avg:37.89 psnr_y:37.19 psnr_u:38.92 psnr_v:40.86 
n:62 mse_avg:14.91 mse_y:18.75 mse_u:8.86 mse_v:5.59 psnr_avg:36.40 psnr_y:35.40 psnr_u:38.66 psnr_v:40.65 
n:63 mse_avg:15.15 mse_y:19.04 mse_u:8.97 mse_v:5.77 psnr_avg:36.33 psnr_y:35.33 psnr_u:38.60 psnr_v:40.52 
n:64 mse_avg:15.15 mse_y:19.03 mse_u:8.97 mse_v:5.81 psnr_avg:36.33 psnr_y:35.34 psnr_u:38.60 psnr_v:40.49 
n:65 mse_avg:10.76 mse_y:12.71 mse_u:8.36 mse_v:5.33 psnr_avg:37.81 psnr_y:37.09 psnr_u:38.91 psnr_v:40.86 
n:66 mse_avg:14.65 mse_y:18.43 mse_u:8.63 mse_v:5.55 psnr_avg:36.47 psnr_y:35.48 psnr_u:38.77 psnr_v:40.69 
n:67 mse_avg:14.87 mse_y:18.69 mse_u:8.80 mse_v:5.68 psnr_avg:36.41 psnr_y:35.42 psnr_u:38.68 psnr_v:40.59 
n:68 mse_avg:14.40 mse_y:17.99 mse_u:8.70 mse_v:5.71 psnr_avg:36.55 psnr_y:35.58 psnr_u:38.74 psnr_v:40.57 
n:69 mse_avg:14.16 mse_y:17.58 mse_u:8.87 mse_v:5.77 psnr_avg:36.62 psnr_y:35.68 psnr_u:38.65 psnr_v:40.52 
n:70 mse_avg:14.89 mse_y:18.64 mse_u:8.90 mse_v:5.83 psnr_avg:36.40 psnr_y:35.43 psnr_u:38.63 psnr_v:40.47 
n:71 mse_avg:10.63 mse_y:12.52 mse_u:8.32 mse_v:5.36 psnr_avg:37.87 psnr_y:37.15 psnr_u:38.93 psnr_v:40.84 
n:72 mse_avg:14.71 mse_y:18.45 mse_u:8.79 mse_v:5.65 psnr_avg:36.46 psnr_y:35.47 psnr_u:38.69 psnr_v:40.61 
n:73 mse_avg:10.76 mse_y:12.72 mse_u:8.38 mse_v:5.30 psnr_avg:37.81 psnr_y:37.09 psnr_u:38.90 psnr_v:40.89 
n:74 mse_avg:14.71 mse_y:18.47 mse_u:8.78 mse_v:5.56 psnr_avg:36.46 psnr_y:35.46 psnr_u:38.69 psnr_v:40.68 
n:75 mse_avg:14.55 mse_y:18.22 mse_u:8.80 mse_v:5.63 psnr_avg:36.50 psnr_y:35.52 psnr_u:38.69 psnr_v:40.63 
n:76 mse_avg:14.98 mse_y:18.83 mse_u:8.87 mse_v:5.69 psnr_avg:36.38 psnr_y:35.38 psnr_u:38.65 psnr_v:40.58 
n:77 mse_avg:13.87 mse_y:17.19 mse_u:8.75 mse_v:5.70 psnr_avg:36.71 psnr_y:35.78 psnr_u:38.71 psnr_v:40.57 
n:78 mse_avg:14.58 mse_y:18.24 mse_u:8.83 mse_v:5.71 psnr_avg:36.49 psnr_y:35.52 psnr_u:38.67 psnr_v:40.56 
n:79 mse_avg:14.70 mse_y:18.38 mse_u:8.89 mse_v:5.80 psnr_avg:36.46 psnr_y:35.49 psnr_u:38.64 psnr_v:40.50 
n:80 mse_avg:15.37 mse_y:19.33 mse_u:9.00 mse_v:5.88 psnr_avg:36.26 psnr_y:35.27 psnr_u:38.59 psnr_v:40.43 
n:81 mse_avg:10.41 mse_y:12.23 mse_u:8.23 mse_v:5.33 psnr_avg:37.96 psnr_y:37.26 psnr_u:38.98 psnr_v:40.86 
n:82 mse_avg:14.91 mse_y:18.75 mse_u:8.83 mse_v:5.61 psnr_avg:36.40 psnr_y:35.40 psnr_u:38.67 psnr_v:40.64 
n:83 mse_avg:14.60 mse_y:18.27 mse_u:8.80 mse_v:5.71 psnr_avg:36.49 psnr_y:35.51 psnr_u:38.68 psnr_v:40.57 
n:84 mse_avg:15.17 mse_y:19.08 mse_u:8.90 mse_v:5.79 psnr_avg:36.32 psnr_y:35.33 psnr_u:38.64 psnr_v:40.51 
n:85 mse_avg:13.59 mse_y:16.79 mse_u:8.69 mse_v:5.71 psnr_avg:36.80 psnr_y:35.88 psnr_u:38.74 psnr_v:40.56 
n:86 mse_avg:14.68 mse_y:18.35 mse_u:8.90 mse_v:5.78 psnr_avg:36.46 psnr_y:35.49 psnr_u:38.64 psnr_v:40.51 
n:87 mse_avg:13.95 mse_y:17.29 mse_u:8.72 mse_v:5.80 psnr_avg:36.69 psnr_y:35.75 psnr_u:38.72 psnr_v:40.50 
n:88 mse_avg:15.14 mse_y:18.97 mse_u:8.98 mse_v:5.98 psnr_avg:36.33 psnr_y:35.35 psnr_u:38.60 psnr_v:40.36 
n:89 mse_avg:10.35 mse_y:12.13 mse_u:8.22 mse_v:5.36 psnr_avg:37.98 psnr_y:37.29 psnr_u:38.98 psnr_v:40.84 
n:90 mse_avg:14.84 mse_y:18.64 mse_u:8.80 mse_v:5.68 psnr_avg:36.42 psnr_y:35.43 psnr_u:38.69 psnr_v:40.59 
n:91 mse_avg:10.47 mse_y:12.33 mse_u:8.19 mse_v:5.28 psnr_avg:37.93 psnr_y:37.22 psnr_u:39.00 psnr_v:40.90 
n:92 mse_avg:13.96 mse_y:17.43 mse_u:8.55 mse_v:5.48 psnr_avg:36.68 psnr_y:35.72 psnr_u:38.81 psnr_v:40.75 
n:93 mse_avg:13.88 mse_y:17.26 mse_u:8.66 mse_v:5.60 psnr_avg:36.71 psnr_y:35.76 psnr_u:38.75 psnr_v:40.65 
n:94 mse_avg:14.64 mse_y:18.36 mse_u:8.74 mse_v:5.68 psnr_avg:36.47 psnr_y:35.49 psnr_u:38.72 psnr_v:40.58 
n:95 mse_avg:14.53 mse_y:18.17 mse_u:8.76 mse_v:5.74 psnr_avg:36.51 psnr_y:35.54 psnr_u:38.71 psnr_v:40.54 
n:96 mse_avg:14.12 mse_y:17.60 mse_u:8.64 mse_v:5.69 psnr_avg:36.63 psnr_y:35.68 psnr_u:38.77 psnr_v:40.58 
n:97 mse_avg:10.55 mse_y:12.43 mse_u:8.27 mse_v:5.32 psnr_avg:37.90 psnr_y:37.19 psnr_u:38.96 psnr_v:40.87 
n:98 mse_avg:13.60 mse_y:16.91 mse_u:8.43 mse_v:5.50 psnr_avg:36.80 psnr_y:35.85 psnr_u:38.87 psnr_v:40.73 
n:99 mse_avg:14.58 mse_y:18.26 mse_u:8.76 mse_v:5.70 psnr_avg:36.49 psnr_y:35.52 psnr_u:38.71 psnr_v:40.57 
n:100 mse_avg:13.79 mse_y:17.14 mse_u:8.52 mse_v:5.67 psnr_avg:36.73 psnr_y:35.79 psnr_u:38.82 psnr_v:40.60 
n:101 mse_avg:10.35 mse_y:12.17 mse_u:8.14 mse_v:5.29 psnr_avg:37.98 psnr_y:37.28 psnr_u:39.02 psnr_v:40.89 
n:102 mse_avg:13.60 mse_y:16.92 mse_u:8.41 mse_v:5.48 psnr_avg:36.80 psnr_y:35.85 psnr_u:38.88 psnr_v:40.74 
n:103 mse_avg:14.57 mse_y:18.27 mse_u:8.70 mse_v:5.65 psnr_avg:36.50 psnr_y:35.51 psnr_u:38.73 psnr_v:40.61 
n:104 mse_avg:14.67 mse_y:18.39 mse_u:8.68 mse_v:5.75 psnr_avg:36.47 psnr_y:35.49 psnr_u:38.74 psnr_v:40.53 
n:105 mse_avg:10.51 mse_y:12.38 mse_u:8.21 mse_v:5.30 psnr_avg:37.92 psnr_y:37.20 psnr_u:38.99 psnr_v:40.89 
n:106 mse_avg:14.17 mse_y:17.72 mse_u:8.58 mse_v:5.58 psnr_avg:36.62 psnr_y:35.65 psnr_u:38.80 psnr_v:40.67 
n:107 mse_avg:13.98 mse_y:17.42 mse_u:8.59 mse_v:5.62 psnr_avg:36.67 psnr_y:35.72 psnr_u:38.79 psnr_v:40.63 
n:108 mse_avg:14.99 mse_y:18.85 mse_u:8.79 mse_v:5.77 psnr_avg:36.37 psnr_y:35.38 psnr_u:38.69 psnr_v:40.52 
n:109 mse_avg:13.94 mse_y:17.30 mse_u:8.73 mse_v:5.73 psnr_avg:36.69 psnr_y:35.75 psnr_u:38.72 psnr_v:40.55 
n:110 mse_avg:14.70 mse_y:18.42 mse_u:8.75 mse_v:5.77 psnr_avg:36.46 psnr_y:35.48 psnr_u:38.71 psnr_v:40.52 
n:111 mse_avg:10.35 mse_y:12.15 mse_u:8.15 mse_v:5.33 psnr_avg:37.98 psnr_y:37.28 psnr_u:39.02 psnr_v:40.86 
n:112 mse_avg:14.15 mse_y:17.69 mse_u:8.53 mse_v:5.59 psnr_avg:36.62 psnr_y:35.65 psnr_u:38.82 psnr_v:40.66 
n:113 mse_avg:10.62 mse_y:12.54 mse_u:8.24 mse_v:5.31 psnr_avg:37.87 psnr_y:37.15 psnr_u:38.97 psnr_v:40.88 
n:114 mse_avg:14.54 mse_y:18.25 mse_u:8.68 mse_v:5.56 psnr_avg:36.51 psnr_y:35.52 psnr_u:38.75 psnr_v:40.68 
n:115 mse_avg:13.94 mse_y:17.37 mse_u:8.56 mse_v:5.60 psnr_avg:36.69 psnr_y:35.73 psnr_u:38.81 psnr_v:40.65 
n:116 mse_avg:14.51 mse_y:18.19 mse_u:8.65 mse_v:5.68 psnr_avg:36.51 psnr_y:35.53 psnr_u:38.76 psnr_v:40.59 
n:117 mse_avg:13.55 mse_y:16.74 mse_u:8.64 mse_v:5.71 psnr_avg:36.81 psnr_y:35.89 psnr_u:38.77 psnr_v:40.56 
n:118 mse_avg:14.88 mse_y:18.65 mse_u:8.85 mse_v:5.81 psnr_avg:36.41 psnr_y:35.42 psnr_u:38.66 psnr_v:40.49 
n:119 mse_avg:14.03 mse_y:17.40 mse_u:8.71 mse_v:5.85 psnr_avg:36.66 psnr_y:35.73 psnr_u:38.73 psnr_v:40.46 
n:120 mse_avg:15.37 mse_y:19.31 mse_u:8.99 mse_v:6.01 psnr_avg:36.26 psnr_y:35.27 psnr_u:38.59 psnr_v:40.34 
n:121 mse_avg:9.94 mse_y:11.58 mse_u:8.01 mse_v:5.34 psnr_avg:38.16 psnr_y:37.49 psnr_u:39.09 psnr_v:40.86 
n:122 mse_avg:14.36 mse_y:17.95 mse_u:8.69 mse_v:5.68 psnr_avg:36.56 psnr_y:35.59 psnr_u:38.74 psnr_v:40.59 
n:123 mse_avg:13.97 mse_y:17.37 mse_u:8.68 mse_v:5.69 psnr_avg:36.68 psnr_y:35.73 psnr_u:38.75 psnr_v:40.58 
n:124 mse_avg:14.67 mse_y:18.36 mse_u:8.81 mse_v:5.80 psnr_avg:36.47 psnr_y:35.49 psnr_u:38.68 psnr_v:40.50 
n:125 mse_avg:14.09 mse_y:17.47 mse_u:8.84 mse_v:5.83 psnr_avg:36.64 psnr_y:35.71 psnr_u:38.67 psnr_v:40.48 
n:126 mse_avg:14.16 mse_y:17.59 mse_u:8.75 mse_v:5.82 psnr_avg:36.62 psnr_y:35.68 psnr_u:38.71 psnr_v:40.48 
n:127 mse_avg:14.84 mse_y:18.54 mse_u:8.93 mse_v:5.94 psnr_avg:36.42 psnr_y:35.45 psnr_u:38.62 psnr_v:40.39 
n:128 mse_avg:14.47 mse_y:18.03 mse_u:8.82 mse_v:5.90 psnr_avg:36.53 psnr_y:35.57 psnr_u:38.68 psnr_v:40.42 
n:129 mse_avg:3.50 mse_y:3.60 mse_u:3.59 mse_v:3.02 psnr_avg:42.69 psnr_y:42.57 psnr_u:42.58 psnr_v:43.33 
n:130 mse_avg:14.15 mse_y:17.90 mse_u:8.48 mse_v:4.85 psnr_avg:36.62 psnr_y:35.60 psnr_u:38.85 psnr_v:41.27 
n:131 mse_avg:14.62 mse_y:18.56 mse_u:8.53 mse_v:4.93 psnr_avg:36.48 psnr_y:35.44 psnr_u:38.82 psnr_v:41.20 
n:132 mse_avg:14.19 mse_y:17.94 mse_u:8.42 mse_v:4.95 psnr_avg:36.61 psnr_y:35.59 psnr_u:38.88 psnr_v:41.19 
n:133 mse_avg:13.95 mse_y:17.55 mse_u:8.48 mse_v:5.03 psnr_avg:36.68 psnr_y:35.69 psnr_u:38.84 psnr_v:41.12 
n:134 mse_avg:14.36 mse_y:18.15 mse_u:8.50 mse_v:5.07 psnr_avg:36.56 psnr_y:35.54 psnr_u:38.84 psnr_v:41.08 
n:135 mse_avg:14.63 mse_y:18.52 mse_u:8.55 mse_v:5.18 psnr_avg:36.48 psnr_y:35.46 psnr_u:38.81 psnr_v:40.99 
n:136 mse_avg:13.15 mse_y:16.40 mse_u:8.19 mse_v:5.08 psnr_avg:36.94 psnr_y:35.98 psnr_u:39.00 psnr_v:41.07 
n:137 mse_avg:10.71 mse_y:12.77 mse_u:8.17 mse_v:5.01 psnr_avg:37.83 psnr_y:37.07 psnr_u:39.01 psnr_v:41.13 
n:138 mse_avg:14.19 mse_y:17.89 mse_u:8.41 mse_v:5.16 psnr_avg:36.61 psnr_y:35.60 psnr_u:38.88 psnr_v:41.01 
