n:62 mse_avg:23.49 mse_y:28.69 mse_u:14.07 mse_v:12.09 psnr_avg:34.42 psnr_y:33.55 psnr_u:36.65 psnr_v:37.31 
n:63 mse_avg:21.83 mse_y:26.41 mse_u:13.67 mse_v:11.66 psnr_avg:34.74 psnr_y:33.91 psnr_u:36.77 psnr_v:37.46 
n:64 mse_avg:22.90 mse_y:27.88 mse_u:13.94 mse_v:11.92 psnr_avg:34.53 psnr_y:33.68 psnr_u:36.69 psnr_v:37.37 
n:65 mse_avg:17.94 mse_y:21.09 mse_u:12.45 mse_v:10.82 psnr_avg:35.59 psnr_y:34.89 psnr_u:37.18 psnr_v:37.79 
n:66 mse_avg:24.02 mse_y:29.52 mse_u:13.95 mse_v:12.08 psnr_avg:34.33 psnr_y:33.43 psnr_u:36.69 psnr_v:37.31 
n:67 mse_avg:22.06 mse_y:26.83 mse_u:13.54 mse_v:11.52 psnr_avg:34.69 psnr_y:33.84 psnr_u:36.82 psnr_v:37.52 
n:68 mse_avg:24.16 mse_y:29.65 mse_u:14.16 mse_v:12.20 psnr_avg:34.30 psnr_y:33.41 psnr_u:36.62 psnr_v:37.27 
n:69 mse_avg:17.99 mse_y:21.15 mse_u:12.49 mse_v:10.88 psnr_avg:35.58 psnr_y:34.88 psnr_u:37.16 psnr_v:37.76 
n:70 mse_avg:23.91 mse_y:29.22 mse_u:14.32 mse_v:12.26 psnr_avg:34.35 psnr_y:33.47 psnr_u:36.57 psnr_v:37.25 
n:71 mse_avg:21.33 mse_y:25.77 mse_u:13.35 mse_v:11.54 psnr_avg:34.84 psnr_y:34.02 psnr_u:36.88 psnr_v:37.51 
n:72 mse_avg:24.87 mse_y:30.62 mse_u:14.38 mse_v:12.37 psnr_avg:34.17 psnr_y:33.27 psnr_u:36.55 psnr_v:37.21 
n:73 mse_avg:17.58 mse_y:20.61 mse_u:12.26 mse_v:10.79 psnr_avg:35.68 psnr_y:34.99 psnr_u:37.25 psnr_v:37.80 
n:74 mse_avg:24.63 mse_y:30.24 mse_u:14.33 mse_v:12.47 psnr_avg:34.22 psnr_y:33.32 psnr_u:36.57 psnr_v:37.17 
n:75 mse_avg:21.94 mse_y:26.62 mse_u:13.50 mse_v:11.69 psnr_avg:34.72 psnr_y:33.88 psnr_u:36.83 psnr_v:37.45 
n:76 mse_avg:23.11 mse_y:28.19 mse_u:13.87 mse_v:12.04 psnr_avg:34.49 psnr_y:33.63 psnr_u:36.71 psnr_v:37.32 
n:77 mse_avg:18.21 mse_y:21.45 mse_u:12.52 mse_v:10.93 psnr_avg:35.53 psnr_y:34.82 psnr_u:37.16 psnr_v:37.74 
n:78 mse_avg:24.32 mse_y:29.89 mse_u:14.19 mse_v:12.18 psnr_avg:34.27 psnr_y:33.38 psnr_u:36.61 psnr_v:37.28 
n:79 mse_avg:21.17 mse_y:25.56 mse_u:13.35 mse_v:11.40 psnr_avg:34.87 psnr_y:34.05 psnr_u:36.88 psnr_v:37.56 
n:80 mse_avg:22.61 mse_y:27.53 mse_u:13.77 mse_v:11.80 psnr_avg:34.59 psnr_y:33.73 psnr_u:36.74 psnr_v:37.41 
n:81 mse_avg:17.68 mse_y:20.77 mse_u:12.37 mse_v:10.63 psnr_avg:35.66 psnr_y:34.96 psnr_u:37.21 psnr_v:37.87 
n:82 mse_avg:22.93 mse_y:27.95 mse_u:13.93 mse_v:11.85 psnr_avg:34.53 psnr_y:33.67 psnr_u:36.69 psnr_v:37.39 
n:83 mse_avg:21.51 mse_y:25.99 mse_u:13.66 mse_v:11.44 psnr_avg:34.80 psnr_y:33.98 psnr_u:36.77 psnr_v:37.55 
n:84 mse_avg:23.00 mse_y:28.01 mse_u:14.12 mse_v:11.81 psnr_avg:34.51 psnr_y:33.66 psnr_u:36.63 psnr_v:37.41 
n:85 mse_avg:17.40 mse_y:20.41 mse_u:12.20 mse_v:10.55 psnr_avg:35.73 psnr_y:35.03 psnr_u:37.27 psnr_v:37.90 
n:86 mse_avg:22.83 mse_y:27.81 mse_u:13.93 mse_v:11.81 psnr_avg:34.55 psnr_y:33.69 psnr_u:36.69 psnr_v:37.41 
n:87 mse_avg:22.12 mse_y:26.92 mse_u:13.56 mse_v:11.48 psnr_avg:34.68 psnr_y:33.83 psnr_u:36.81 psnr_v:37.53 
n:88 mse_avg:22.82 mse_y:27.78 mse_u:13.98 mse_v:11.78 psnr_avg:34.55 psnr_y:33.69 psnr_u:36.68 psnr_v:37.42 
n:89 mse_avg:17.98 mse_y:21.14 mse_u:12.55 mse_v:10.76 psnr_avg:35.58 psnr_y:34.88 psnr_u:37.14 psnr_v:37.81 
n:90 mse_avg:22.34 mse_y:27.11 mse_u:13.88 mse_v:11.72 psnr_avg:34.64 psnr_y:33.80 psnr_u:36.71 psnr_v:37.44 
n:91 mse_avg:21.11 mse_y:25.39 mse_u:13.58 mse_v:11.50 psnr_avg:34.89 psnr_y:34.08 psnr_u:36.80 psnr_v:37.52 
n:92 mse_avg:23.35 mse_y:28.53 mse_u:14.03 mse_v:11.96 psnr_avg:34.45 psnr_y:33.58 psnr_u:36.66 psnr_v:37.35 
n:93 mse_avg:18.22 mse_y:21.46 mse_u:12.61 mse_v:10.91 psnr_avg:35.52 psnr_y:34.82 psnr_u:37.12 psnr_v:37.75 
n:94 mse_avg:23.59 mse_y:28.88 mse_u:14.06 mse_v:11.99 psnr_avg:34.40 psnr_y:33.53 psnr_u:36.65 psnr_v:37.34 
n:95 mse_avg:22.23 mse_y:26.98 mse_u:13.74 mse_v:11.71 psnr_avg:34.66 psnr_y:33.82 psnr_u:36.75 psnr_v:37.45 
n:96 mse_avg:23.91 mse_y:29.41 mse_u:13.93 mse_v:11.88 psnr_avg:34.35 psnr_y:33.45 psnr_u:36.69 psnr_v:37.38 
n:97 mse_avg:18.43 mse_y:21.78 mse_u:12.55 mse_v:10.88 psnr_avg:35.48 psnr_y:34.75 psnr_u:37.15 psnr_v:37.76 
n:98 mse_avg:23.71 mse_y:29.09 mse_u:13.97 mse_v:11.94 psnr_avg:34.38 psnr_y:33.49 psnr_u:36.68 psnr_v:37.36 
n:99 mse_avg:22.37 mse_y:27.18 mse_u:13.70 mse_v:11.78 psnr_avg:34.63 psnr_y:33.79 psnr_u:36.76 psnr_v:37.42 
